instrument,trade_count,long_count,short_count,gross_pnl,fees,slippage,net_pnl,net_return_contribution,profit_factor,win_rate,average_win,average_loss,expectancy,average_holding_period_hours,turnover,gross_exposure_sum_entry,max_drawdown_contribution,cost_drag,share_of_total_pnl,share_of_total_cost_drag,rank_by_net_pnl,rank_by_neg_drawdown_contrib,rank_by_cost_drag,rank_by_trade_count
MANA,2,0,2,-0.8450815677966059,0.06845160699152544,0.03422580349576272,-0.9477589782838941,-9.47758978283894e-05,0.0,0.0,0.0,-0.47387948914194705,-0.47387948914194705,133.0,68.45160699152544,33.80326271186442,-9.47758978283894e-05,0.10267741048728816,-0.04075705921661036,0.004487760433697917,48,68,76,83
XTZ,2,0,2,-0.8450815677966064,0.06845160699152533,0.034225803495762666,-0.9477589782838944,-9.477589782838945e-05,0.0,0.0,0.0,-0.4738794891419472,-0.4738794891419472,220.5,68.45160699152535,33.80326271186437,-9.477589782838945e-05,0.102677410487288,-0.040757059216610374,0.00448776043369791,49,67,82,81
SOL,2,0,2,-0.8450815677966067,0.06845160699152535,0.03422580349576267,-0.9477589782838948,-9.477589782838947e-05,0.0,0.0,0.0,-0.4738794891419474,-0.4738794891419474,4.0,68.45160699152535,33.80326271186437,-9.477589782838947e-05,0.10267741048728801,-0.04075705921661039,0.00448776043369791,50,66,81,87
AVAX,2,0,2,-0.8450815677966068,0.06845160699152542,0.03422580349576271,-0.9477589782838949,-9.477589782838949e-05,0.0,0.0,0.0,-0.47387948914194744,-0.47387948914194744,123.0,68.45160699152541,33.803262711864406,-9.477589782838949e-05,0.10267741048728812,-0.040757059216610395,0.004487760433697916,51,65,78,84
ENJ,2,0,2,-0.845081567796607,0.06845160699152536,0.03422580349576268,-0.9477589782838951,-9.477589782838952e-05,0.0,0.0,0.0,-0.47387948914194755,-0.47387948914194755,120.5,68.45160699152537,33.80326271186438,-9.477589782838952e-05,0.10267741048728804,-0.0407570592166104,0.004487760433697912,52,63,80,85
APE,2,0,2,-0.845081567796607,0.06845160699152543,0.034225803495762715,-0.9477589782838952,-9.477589782838952e-05,0.0,0.0,0.0,-0.4738794891419476,-0.4738794891419476,6.5,68.45160699152544,33.80326271186442,-9.477589782838952e-05,0.10267741048728815,-0.04075705921661041,0.0044877604336979165,53,64,77,86
CFX,2,0,2,-0.8450815677966081,0.06845160699152536,0.03422580349576268,-0.9477589782838962,-9.477589782838962e-05,0.0,0.0,0.0,-0.4738794891419481,-0.4738794891419481,193.5,68.45160699152535,33.80326271186438,-9.477589782838962e-05,0.10267741048728804,-0.04075705921661045,0.004487760433697912,54,62,79,79
ZRX,2,0,2,-0.8450815677966084,0.06845160699152546,0.03422580349576273,-0.9477589782838965,-9.477589782838965e-05,0.0,0.0,0.0,-0.4738794891419483,-0.4738794891419483,117.0,68.45160699152545,33.80326271186443,-9.477589782838965e-05,0.10267741048728818,-0.040757059216610464,0.004487760433697918,55,61,75,82
JUP,3,1,2,-1.2640842626880224,0.10154336765061153,0.050771683825305766,-1.4163993141639397,-0.00014163993141639398,0.0,0.0,0.0,-0.47213310472131326,-0.47213310472131326,16.333333333333332,101.54336765061151,50.56337050752106,-0.00014163993141639398,0.15231505147591728,-0.06091028631168917,0.006657291591463631,56,60,68,61
AUCTION,3,1,2,-1.2640842626880242,0.10154336765061142,0.05077168382530571,-1.4163993141639415,-0.00014163993141639414,0.0,0.0,0.0,-0.4721331047213138,-0.4721331047213138,31.0,101.54336765061144,50.56337050752103,-0.00014163993141639414,0.15231505147591712,-0.060910286311689245,0.006657291591463624,57,59,70,54
