stress,fee_bps,slippage_bps,mode,baseline_delta_net_pnl,delta_return,modelled_return_drag,profit_factor,sharpe,max_drawdown,trade_count,gate_verdict,inconclusive_reason,stop_stress_status
baseline_ref,10.0,5.0,modelled_roundtrip_bps_drag,0.0,0.0,0.0,1.113543031247047,NOT_REPORTED_IN_STRESS_CSV,-0.0204802183473946,454,BASELINE,baseline_reference,NOT_AVAILABLE_SIZING_CONFIG_DIGEST_SEALED
cost_stress_1_5x,15.0,5.0,modelled_roundtrip_bps_drag,0.0,-0.4539999999999999,0.454,1.113543031247047,NOT_REPORTED_IN_STRESS_CSV,-0.0204802183473946,454,FAIL_STRESS,modelled_roundtrip_bps_drag_only_not_full_path_rerun,NOT_AVAILABLE_SIZING_CONFIG_DIGEST_SEALED
cost_stress_2x,20.0,5.0,modelled_roundtrip_bps_drag,0.0,-0.9079999999999998,0.908,1.113543031247047,NOT_REPORTED_IN_STRESS_CSV,-0.0204802183473946,454,FAIL_STRESS,modelled_roundtrip_bps_drag_only_not_full_path_rerun,NOT_AVAILABLE_SIZING_CONFIG_DIGEST_SEALED
slip_stress_1_5x,10.0,7.5,modelled_roundtrip_bps_drag,0.0,-0.2269999999999999,0.227,1.113543031247047,NOT_REPORTED_IN_STRESS_CSV,-0.0204802183473946,454,FAIL_STRESS,modelled_roundtrip_bps_drag_only_not_full_path_rerun,NOT_AVAILABLE_SIZING_CONFIG_DIGEST_SEALED
slip_stress_2x,10.0,10.0,modelled_roundtrip_bps_drag,0.0,-0.4539999999999999,0.454,1.113543031247047,NOT_REPORTED_IN_STRESS_CSV,-0.0204802183473946,454,FAIL_STRESS,modelled_roundtrip_bps_drag_only_not_full_path_rerun,NOT_AVAILABLE_SIZING_CONFIG_DIGEST_SEALED
combined_cost_slip_1_5x,15.0,7.5,modelled_roundtrip_bps_drag,0.0,-0.6809999999999999,0.681,1.113543031247047,NOT_REPORTED_IN_STRESS_CSV,-0.0204802183473946,454,FAIL_STRESS,modelled_roundtrip_bps_drag_only_not_full_path_rerun,NOT_AVAILABLE_SIZING_CONFIG_DIGEST_SEALED
combined_cost_slip_2x,20.0,10.0,modelled_roundtrip_bps_drag,0.0,-1.362,1.362,1.113543031247047,NOT_REPORTED_IN_STRESS_CSV,-0.0204802183473946,454,FAIL_STRESS,modelled_roundtrip_bps_drag_only_not_full_path_rerun,NOT_AVAILABLE_SIZING_CONFIG_DIGEST_SEALED
