instrument,member_id,bars_total,bars_hooked,warmup_invalid_noop_like,noop_count,bull_candidate_count,bear_candidate_count,bull_event_count,bear_event_count,downscope_event_count,adverse_exit_event_count,scope_unknown_count,bull_transition_count,bear_transition_count,downscope_transition_count,long_reachable,short_reachable,entry_policy_signals,exit_policy_signals,adverse_policy_signals,entry_intents,exit_intents,entry_side_none,entry_side_other,composition_side,composition_status,composition_selected_nonzero,decision_outcome,event_counts,side_after,canonical_chain_bound,classic_bypass,second_authority,value_loss,first_value_loss_boundary,total_trades,long_trades,short_trades,gross_pnl,net_pnl,gross_return,net_return,fees,slippage,gross_profit,gross_loss,net_profit,net_loss,profit_factor_gross,profit_factor_net,expectancy_gross,expectancy_net,payoff_ratio,win_rate,max_drawdown,sharpe,avg_hold_hours,exposure_time_hours,exposure_bars,turnover,break_even_cost_bps,required_gross_edge_for_break_even,fee_bps_bound,slippage_bps_bound,half_spread_bps_bound,initial_equity,engine_signal_source,stats_keys,metrics_keys,primary_class,primary_blocking_boundary,classification_rationale,low_sample,robustness_applicable,price_scale
1INCH,okx:linear_perpetual:1INCH:USDT:USDT:perp,2953,2953,60,118,284,2460,284,2460,2460,31,0,0,2,4,True,True,9,2492,2491,9,2492,2893,0,"{""long"": 132, ""none"": 2624, ""short"": 137}","{""long_selected"": 132, ""observe"": 2623, ""reversal_preparation"": 1, ""short_selected"": 137}",269,"{""blocked"": 13, ""enter_long"": 1, ""enter_short"": 8, ""hold"": 91, ""no_action"": 13, ""observe"": 275, ""reduce"": 2492}","{""adverse_exit_candidate"": 31, ""downscope_candidate"": 21, ""downscope_confirmed"": 2439, ""noop"": 118, ""upscope_candidate"": 7, ""upscope_confirmed"": 277}","{""long_active"": 25, ""long_armed"": 2, ""long_blocked"": 4, ""short_active"": 2543, ""short_armed"": 277, ""switch_long_to_short_pending"": 42}",True,False,False,False,,1,0,0,-50.0,-50.0,-0.005,-0.005,0.0,NOT_AVAILABLE,0.0,-50.0,0.0,-50.0,0.0,0.0,-50.0,-50.0,0.0,0.0,-0.005,NOT_AVAILABLE,106.0,106.0,9,1.0,30.0,30.0,10.0,5.0,0.0,10000.0,mv2_decision_replay_series,"['blocked_trades', 'cagr', 'economic_interpretation_allowed', 'fee_drag', 'funding_drag_or_status', 'gross_return', 'max_drawdown', 'net_return', 'profit_factor', 'recovery_factor', 'sharpe', 'slippage_impact', 'total_return', 'total_trades', 'ulcer_index', 'win_rate']","['avg_loss', 'avg_win', 'cagr', 'calmar', 'expectancy', 'losing_trades', 'max_drawdown', 'profit_factor', 'recovery_factor', 'sharpe', 'sortino', 'total_return', 'total_trades', 'ulcer_index', 'win_rate', 'winning_trades']",E,trade_sample_insufficiency_with_exit_dominance,low_sample_exit_heavy,True,False,low
BONK,okx:linear_perpetual:BONK:USDT:USDT:perp,2953,2953,60,65,923,1892,923,1892,1892,13,0,0,2,4,True,True,52,1905,1905,52,1905,2893,0,"{""long"": 352, ""none"": 2176, ""short"": 365}","{""long_selected"": 352, ""observe"": 2176, ""short_selected"": 365}",717,"{""blocked"": 162, ""enter_short"": 52, ""no_action"": 64, ""observe"": 710, ""reduce"": 1905}","{""adverse_exit_candidate"": 13, ""downscope_candidate"": 24, ""downscope_confirmed"": 1868, ""noop"": 65, ""upscope_candidate"": 8, ""upscope_confirmed"": 915}","{""long_active"": 7, ""long_armed"": 17, ""long_blocked"": 428, ""short_active"": 1932, ""short_armed"": 114, ""switch_long_to_short_pending"": 395}",True,False,False,False,,0,0,0,0.0,0.0,NOT_AVAILABLE,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0.0,0.0,NOT_AVAILABLE,NOT_AVAILABLE,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,52,0.0,30.0,30.0,10.0,5.0,0.0,10000.0,mv2_decision_replay_series,"['blocked_trades', 'cagr', 'economic_interpretation_allowed', 'fee_drag', 'funding_drag_or_status', 'gross_return', 'max_drawdown', 'net_return', 'profit_factor', 'recovery_factor', 'sharpe', 'slippage_impact', 'total_return', 'total_trades', 'ulcer_index', 'win_rate']","['avg_loss', 'avg_win', 'cagr', 'calmar', 'expectancy', 'losing_trades', 'max_drawdown', 'profit_factor', 'recovery_factor', 'sharpe', 'sortino', 'total_return', 'total_trades', 'ulcer_index', 'win_rate', 'winning_trades']",E,trade_sample_insufficiency_with_exit_dominance,low_sample_exit_heavy,True,False,ultra_low
AVAX,okx:linear_perpetual:AVAX:USDT:USDT:perp,2953,2953,60,225,325,2251,325,2251,2251,92,0,0,2,4,True,True,8,2343,2343,8,2343,2893,0,"{""long"": 136, ""none"": 2625, ""short"": 132}","{""long_selected"": 136, ""observe"": 2625, ""short_selected"": 132}",268,"{""blocked"": 23, ""enter_short"": 8, ""no_action"": 12, ""observe"": 507, ""reduce"": 2343}","{""adverse_exit_candidate"": 92, ""downscope_candidate"": 65, ""downscope_confirmed"": 2186, ""noop"": 225, ""upscope_candidate"": 13, ""upscope_confirmed"": 312}","{""long_active"": 37, ""long_armed"": 4, ""long_blocked"": 16, ""short_active"": 2477, ""short_armed"": 332, ""switch_long_to_short_pending"": 27}",True,False,False,False,,0,0,0,0.0,0.0,NOT_AVAILABLE,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0.0,0.0,NOT_AVAILABLE,NOT_AVAILABLE,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,8,0.0,30.0,30.0,10.0,5.0,0.0,10000.0,mv2_decision_replay_series,"['blocked_trades', 'cagr', 'economic_interpretation_allowed', 'fee_drag', 'funding_drag_or_status', 'gross_return', 'max_drawdown', 'net_return', 'profit_factor', 'recovery_factor', 'sharpe', 'slippage_impact', 'total_return', 'total_trades', 'ulcer_index', 'win_rate']","['avg_loss', 'avg_win', 'cagr', 'calmar', 'expectancy', 'losing_trades', 'max_drawdown', 'profit_factor', 'recovery_factor', 'sharpe', 'sortino', 'total_return', 'total_trades', 'ulcer_index', 'win_rate', 'winning_trades']",E,trade_sample_insufficiency_with_exit_dominance,low_sample_exit_heavy,True,False,mid
SOL,okx:linear_perpetual:SOL:USDT:USDT:perp,2953,2953,60,81,104,2674,104,2674,2674,34,0,0,2,4,True,True,2,2708,2708,2,2708,2893,0,"{""long"": 115, ""none"": 2640, ""short"": 138}","{""long_selected"": 115, ""observe"": 2640, ""short_selected"": 138}",253,"{""blocked"": 16, ""enter_short"": 2, ""no_action"": 3, ""observe"": 164, ""reduce"": 2708}","{""adverse_exit_candidate"": 34, ""downscope_candidate"": 31, ""downscope_confirmed"": 2643, ""noop"": 81, ""upscope_candidate"": 8, ""upscope_confirmed"": 96}","{""long_active"": 15, ""long_armed"": 11, ""long_blocked"": 47, ""short_active"": 2738, ""short_armed"": 39, ""switch_long_to_short_pending"": 43}",True,False,False,False,,0,0,0,0.0,0.0,NOT_AVAILABLE,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,0.0,0.0,NOT_AVAILABLE,NOT_AVAILABLE,0.0,NOT_AVAILABLE,NOT_AVAILABLE,NOT_AVAILABLE,2,0.0,30.0,30.0,10.0,5.0,0.0,10000.0,mv2_decision_replay_series,"['blocked_trades', 'cagr', 'economic_interpretation_allowed', 'fee_drag', 'funding_drag_or_status', 'gross_return', 'max_drawdown', 'net_return', 'profit_factor', 'recovery_factor', 'sharpe', 'slippage_impact', 'total_return', 'total_trades', 'ulcer_index', 'win_rate']","['avg_loss', 'avg_win', 'cagr', 'calmar', 'expectancy', 'losing_trades', 'max_drawdown', 'profit_factor', 'recovery_factor', 'sharpe', 'sortino', 'total_return', 'total_trades', 'ulcer_index', 'win_rate', 'winning_trades']",E,trade_sample_insufficiency_with_exit_dominance,low_sample_exit_heavy,True,False,high
