instrument,member_id,bars,entry_intents,enter_long,enter_short,exit_or_reduce,mapped_nonzero_bars,mapped_nonzero_on_enter_epochs,enter_map_mismatch_count,engine_nonzero_bars,enter_engine_mismatch_count,remap_contract_ok,remap_contract_fail,median_impulse_len,max_impulse_len,total_trades,conversion_ratio_trades_per_enter,funnel_engine_values_match,engine_signal_source,classic_bypass,decision_funnel_trades_opened,decision_top,fill_class,first_drop_boundary,mechanical_defect_suspected
LTC,okx:linear_perpetual:LTC:USDT:USDT:perp,2953,3,0,3,2090,3,3,0,3,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 16, ""enter_short"": 3, ""no_action"": 3, ""observe"": 781, ""reduce"": 2090}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
LUNA,okx:linear_perpetual:LUNA:USDT:USDT:perp,2953,0,0,0,2711,0,0,0,0,0,2953,0,0.0,0,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 34, ""no_action"": 1, ""observe"": 147, ""reduce"": 2711}",NO_ENTRY_INTENT,entry_exit_policy,False
MAGIC,okx:linear_perpetual:MAGIC:USDT:USDT:perp,2953,10,0,10,2392,10,10,0,10,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 35, ""enter_short"": 10, ""no_action"": 18, ""observe"": 438, ""reduce"": 2392}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
MANA,okx:linear_perpetual:MANA:USDT:USDT:perp,2953,3,0,3,2401,3,3,0,3,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 25, ""enter_short"": 3, ""no_action"": 11, ""observe"": 453, ""reduce"": 2401}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
MASK,okx:linear_perpetual:MASK:USDT:USDT:perp,2953,3,0,3,2668,3,3,0,3,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 24, ""enter_short"": 3, ""no_action"": 3, ""observe"": 195, ""reduce"": 2668}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
MEME,okx:linear_perpetual:MEME:USDT:USDT:perp,2953,11,1,10,2494,11,11,0,11,0,2953,0,1.0,2,1,0.09090909090909091,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 33, ""enter_long"": 1, ""enter_short"": 10, ""hold"": 96, ""no_action"": 12, ""observe"": 247, ""reduce"": 2494}",CONVERTED,NONE,False
MERL,okx:linear_perpetual:MERL:USDT:USDT:perp,2953,374,1,373,18,374,374,0,374,0,2953,0,1.0,4,1,0.00267379679144385,True,mv2_decision_replay_series,False,0,"{"""": 60, ""enter_long"": 1, ""enter_short"": 373, ""hold"": 41, ""no_action"": 352, ""observe"": 2108, ""reduce"": 18}",CONVERTED,NONE,False
METIS,okx:linear_perpetual:METIS:USDT:USDT:perp,2953,7,1,6,2423,7,7,0,7,0,2953,0,1.0,2,1,0.14285714285714285,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 26, ""enter_long"": 1, ""enter_short"": 6, ""hold"": 54, ""no_action"": 13, ""observe"": 370, ""reduce"": 2423}",CONVERTED,NONE,False
MEW,okx:linear_perpetual:MEW:USDT:USDT:perp,2953,93,1,92,2286,93,93,0,93,0,2953,0,1.0,4,1,0.010752688172043012,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 13, ""enter_long"": 1, ""enter_short"": 92, ""hold"": 62, ""no_action"": 80, ""observe"": 359, ""reduce"": 2286}",CONVERTED,NONE,False
MINA,okx:linear_perpetual:MINA:USDT:USDT:perp,2953,1,1,0,2664,1,1,0,1,0,2953,0,1.0,1,1,1.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 33, ""enter_long"": 1, ""hold"": 68, ""no_action"": 2, ""observe"": 125, ""reduce"": 2664}",CONVERTED,NONE,False
NEAR,okx:linear_perpetual:NEAR:USDT:USDT:perp,2953,1,1,0,2686,1,1,0,1,0,2953,0,1.0,1,1,1.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 17, ""enter_long"": 1, ""hold"": 125, ""observe"": 64, ""reduce"": 2686}",CONVERTED,NONE,False
NEO,okx:linear_perpetual:NEO:USDT:USDT:perp,2953,115,0,115,13,115,115,0,115,0,2953,0,1.0,3,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 1, ""enter_short"": 115, ""no_action"": 100, ""observe"": 2664, ""reduce"": 13}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
NMR,okx:linear_perpetual:NMR:USDT:USDT:perp,2953,1,1,0,2514,1,1,0,1,0,2953,0,1.0,1,1,1.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 31, ""enter_long"": 1, ""hold"": 245, ""observe"": 102, ""reduce"": 2514}",CONVERTED,NONE,False
ONE,okx:linear_perpetual:ONE:USDT:USDT:perp,2953,1,1,0,2703,1,1,0,1,0,2953,0,1.0,1,1,1.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 20, ""enter_long"": 1, ""hold"": 85, ""observe"": 84, ""reduce"": 2703}",CONVERTED,NONE,False
ONT,okx:linear_perpetual:ONT:USDT:USDT:perp,2953,1,1,0,2647,1,1,0,1,0,2953,0,1.0,1,1,1.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 24, ""enter_long"": 1, ""hold"": 75, ""observe"": 146, ""reduce"": 2647}",CONVERTED,NONE,False
OP,okx:linear_perpetual:OP:USDT:USDT:perp,2953,168,0,168,13,168,168,0,168,0,2953,0,1.0,4,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 2, ""enter_short"": 168, ""no_action"": 137, ""observe"": 2573, ""reduce"": 13}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
ORDI,okx:linear_perpetual:ORDI:USDT:USDT:perp,2953,39,1,38,2256,39,39,0,39,0,2953,0,1.0,3,1,0.02564102564102564,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 26, ""enter_long"": 1, ""enter_short"": 38, ""hold"": 90, ""no_action"": 35, ""observe"": 447, ""reduce"": 2256}",CONVERTED,NONE,False
PEOPLE,okx:linear_perpetual:PEOPLE:USDT:USDT:perp,2953,1,1,0,2804,1,1,0,1,0,2953,0,1.0,1,1,1.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""enter_long"": 1, ""hold"": 84, ""observe"": 4, ""reduce"": 2804}",CONVERTED,NONE,False
PEPE,okx:linear_perpetual:PEPE:USDT:USDT:perp,2953,18,2,16,2673,18,18,0,18,0,2953,0,1.0,2,2,0.1111111111111111,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 7, ""enter_long"": 2, ""enter_short"": 16, ""hold"": 71, ""no_action"": 15, ""observe"": 109, ""reduce"": 2673}",CONVERTED,NONE,False
PYTH,okx:linear_perpetual:PYTH:USDT:USDT:perp,2953,236,0,236,14,236,236,0,236,0,2953,0,1.0,4,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 4, ""enter_short"": 236, ""no_action"": 216, ""observe"": 2423, ""reduce"": 14}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
QTUM,okx:linear_perpetual:QTUM:USDT:USDT:perp,2953,9,1,8,2341,9,9,0,9,0,2953,0,1.0,1,1,0.1111111111111111,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 17, ""enter_long"": 1, ""enter_short"": 8, ""hold"": 92, ""no_action"": 10, ""observe"": 424, ""reduce"": 2341}",CONVERTED,NONE,False
RAY,okx:linear_perpetual:RAY:USDT:USDT:perp,2953,1,1,0,2716,1,1,0,1,0,2953,0,1.0,1,1,1.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 10, ""enter_long"": 1, ""hold"": 135, ""observe"": 31, ""reduce"": 2716}",CONVERTED,NONE,False
RSR,okx:linear_perpetual:RSR:USDT:USDT:perp,2953,1,1,0,2785,1,1,0,1,0,2953,0,1.0,1,1,1.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 14, ""enter_long"": 1, ""hold"": 59, ""observe"": 34, ""reduce"": 2785}",CONVERTED,NONE,False
RVN,okx:linear_perpetual:RVN:USDT:USDT:perp,2953,8,1,7,2350,8,8,0,8,0,2953,0,1.0,2,1,0.125,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 29, ""enter_long"": 1, ""enter_short"": 7, ""hold"": 92, ""no_action"": 15, ""observe"": 399, ""reduce"": 2350}",CONVERTED,NONE,False
SAND,okx:linear_perpetual:SAND:USDT:USDT:perp,2953,6,1,5,2386,6,6,0,6,0,2953,0,1.0,1,1,0.16666666666666666,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 21, ""enter_long"": 1, ""enter_short"": 5, ""hold"": 66, ""no_action"": 11, ""observe"": 403, ""reduce"": 2386}",CONVERTED,NONE,False
SATS,okx:linear_perpetual:SATS:USDT:USDT:perp,2953,20,1,19,2502,20,20,0,20,0,2953,0,1.0,2,1,0.05,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 26, ""enter_long"": 1, ""enter_short"": 19, ""hold"": 84, ""no_action"": 34, ""observe"": 227, ""reduce"": 2502}",CONVERTED,NONE,False
SHIB,okx:linear_perpetual:SHIB:USDT:USDT:perp,2953,1,1,0,2708,1,1,0,1,0,2953,0,1.0,1,1,1.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 23, ""enter_long"": 1, ""hold"": 68, ""observe"": 93, ""reduce"": 2708}",CONVERTED,NONE,False
SNX,okx:linear_perpetual:SNX:USDT:USDT:perp,2953,13,1,12,2365,13,13,0,13,0,2953,0,1.0,1,1,0.07692307692307693,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 34, ""enter_long"": 1, ""enter_short"": 12, ""hold"": 66, ""no_action"": 18, ""observe"": 397, ""reduce"": 2365}",CONVERTED,NONE,False
SOL,okx:linear_perpetual:SOL:USDT:USDT:perp,2953,2,0,2,2708,2,2,0,2,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 16, ""enter_short"": 2, ""no_action"": 3, ""observe"": 164, ""reduce"": 2708}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
SSV,okx:linear_perpetual:SSV:USDT:USDT:perp,2953,34,2,32,2341,34,34,0,34,0,2953,0,1.0,4,2,0.058823529411764705,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 38, ""enter_long"": 2, ""enter_short"": 32, ""hold"": 25, ""no_action"": 26, ""observe"": 429, ""reduce"": 2341}",CONVERTED,NONE,False
STRK,okx:linear_perpetual:STRK:USDT:USDT:perp,2953,254,0,254,16,254,254,0,254,0,2953,0,1.0,4,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 2, ""enter_short"": 254, ""no_action"": 227, ""observe"": 2394, ""reduce"": 16}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
STX,okx:linear_perpetual:STX:USDT:USDT:perp,2953,219,1,218,16,219,219,0,219,0,2953,0,1.0,4,1,0.0045662100456621,True,mv2_decision_replay_series,False,0,"{"""": 60, ""enter_long"": 1, ""enter_short"": 218, ""hold"": 93, ""no_action"": 214, ""observe"": 2351, ""reduce"": 16}",CONVERTED,NONE,False
