instrument,member_id,bars,entry_intents,enter_long,enter_short,exit_or_reduce,mapped_nonzero_bars,mapped_nonzero_on_enter_epochs,enter_map_mismatch_count,engine_nonzero_bars,enter_engine_mismatch_count,remap_contract_ok,remap_contract_fail,median_impulse_len,max_impulse_len,total_trades,conversion_ratio_trades_per_enter,funnel_engine_values_match,engine_signal_source,classic_bypass,decision_funnel_trades_opened,decision_top,fill_class,first_drop_boundary,mechanical_defect_suspected
1INCH,okx:linear_perpetual:1INCH:USDT:USDT:perp,2953,9,1,8,2492,9,9,0,9,0,2953,0,1.0,1,1,0.1111111111111111,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 13, ""enter_long"": 1, ""enter_short"": 8, ""hold"": 91, ""no_action"": 13, ""observe"": 275, ""reduce"": 2492}",CONVERTED,NONE,False
AAVE,okx:linear_perpetual:AAVE:USDT:USDT:perp,2953,8,0,8,2477,8,8,0,8,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 3, ""enter_short"": 8, ""no_action"": 14, ""observe"": 391, ""reduce"": 2477}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
ACH,okx:linear_perpetual:ACH:USDT:USDT:perp,2953,22,0,22,2183,22,22,0,22,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 34, ""enter_short"": 22, ""no_action"": 27, ""observe"": 627, ""reduce"": 2183}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
ADA,okx:linear_perpetual:ADA:USDT:USDT:perp,2953,7,1,6,2010,7,7,0,7,0,2953,0,1.0,1,1,0.14285714285714285,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 20, ""enter_long"": 1, ""enter_short"": 6, ""hold"": 23, ""no_action"": 6, ""observe"": 827, ""reduce"": 2010}",CONVERTED,NONE,False
AEVO,okx:linear_perpetual:AEVO:USDT:USDT:perp,2953,309,0,309,6,309,309,0,309,0,2953,0,1.0,5,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""enter_short"": 309, ""no_action"": 294, ""observe"": 2284, ""reduce"": 6}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
AGLD,okx:linear_perpetual:AGLD:USDT:USDT:perp,2953,16,0,16,2336,16,16,0,16,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 28, ""enter_short"": 16, ""no_action"": 26, ""observe"": 487, ""reduce"": 2336}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
ALGO,okx:linear_perpetual:ALGO:USDT:USDT:perp,2953,10,1,9,2205,10,10,0,10,0,2953,0,1.0,2,1,0.1,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 26, ""enter_long"": 1, ""enter_short"": 9, ""hold"": 146, ""no_action"": 10, ""observe"": 496, ""reduce"": 2205}",CONVERTED,NONE,False
APE,okx:linear_perpetual:APE:USDT:USDT:perp,2953,2,0,2,2629,2,2,0,2,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 27, ""enter_short"": 2, ""no_action"": 3, ""observe"": 232, ""reduce"": 2629}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
API3,okx:linear_perpetual:API3:USDT:USDT:perp,2953,2,1,1,2707,2,2,0,2,0,2953,0,1.0,1,1,0.5,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 22, ""enter_long"": 1, ""enter_short"": 1, ""hold"": 92, ""no_action"": 1, ""observe"": 69, ""reduce"": 2707}",CONVERTED,NONE,False
APT,okx:linear_perpetual:APT:USDT:USDT:perp,2953,18,0,18,2230,18,18,0,18,0,2953,0,1.0,3,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 27, ""enter_short"": 18, ""no_action"": 21, ""observe"": 597, ""reduce"": 2230}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
AR,okx:linear_perpetual:AR:USDT:USDT:perp,2953,13,3,10,2723,13,13,0,13,0,2953,0,1.0,4,3,0.23076923076923078,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 30, ""enter_long"": 3, ""enter_short"": 10, ""no_action"": 13, ""observe"": 114, ""reduce"": 2723}",CONVERTED,NONE,False
ARB,okx:linear_perpetual:ARB:USDT:USDT:perp,2953,9,1,8,2407,9,9,0,9,0,2953,0,1.0,1,1,0.1111111111111111,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 21, ""enter_long"": 1, ""enter_short"": 8, ""hold"": 82, ""no_action"": 9, ""observe"": 365, ""reduce"": 2407}",CONVERTED,NONE,False
ATOM,okx:linear_perpetual:ATOM:USDT:USDT:perp,2953,79,0,79,18,79,79,0,79,0,2953,0,1.0,4,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 1, ""enter_short"": 79, ""no_action"": 79, ""observe"": 2716, ""reduce"": 18}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
AUCTION,okx:linear_perpetual:AUCTION:USDT:USDT:perp,2953,5,1,4,2736,5,5,0,5,0,2953,0,1.0,1,1,0.2,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 10, ""enter_long"": 1, ""enter_short"": 4, ""hold"": 32, ""no_action"": 6, ""observe"": 104, ""reduce"": 2736}",CONVERTED,NONE,False
AVAX,okx:linear_perpetual:AVAX:USDT:USDT:perp,2953,8,0,8,2343,8,8,0,8,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 23, ""enter_short"": 8, ""no_action"": 12, ""observe"": 507, ""reduce"": 2343}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
AXS,okx:linear_perpetual:AXS:USDT:USDT:perp,2953,3,1,2,2638,3,3,0,3,0,2953,0,1.0,1,1,0.3333333333333333,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 17, ""enter_long"": 1, ""enter_short"": 2, ""hold"": 32, ""no_action"": 2, ""observe"": 201, ""reduce"": 2638}",CONVERTED,NONE,False
BAND,okx:linear_perpetual:BAND:USDT:USDT:perp,2953,2,1,1,2683,2,2,0,2,0,2953,0,1.0,1,1,0.5,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 16, ""enter_long"": 1, ""enter_short"": 1, ""hold"": 29, ""no_action"": 5, ""observe"": 158, ""reduce"": 2683}",CONVERTED,NONE,False
BAT,okx:linear_perpetual:BAT:USDT:USDT:perp,2953,6,0,6,2381,6,6,0,6,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 22, ""enter_short"": 6, ""no_action"": 10, ""observe"": 474, ""reduce"": 2381}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
BCH,okx:linear_perpetual:BCH:USDT:USDT:perp,2953,3,1,2,2470,3,3,0,3,0,2953,0,1.0,1,1,0.3333333333333333,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 15, ""enter_long"": 1, ""enter_short"": 2, ""hold"": 147, ""no_action"": 5, ""observe"": 253, ""reduce"": 2470}",CONVERTED,NONE,False
BICO,okx:linear_perpetual:BICO:USDT:USDT:perp,2953,13,0,13,2495,13,13,0,13,0,2953,0,1.0,2,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 23, ""enter_short"": 13, ""no_action"": 19, ""observe"": 343, ""reduce"": 2495}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
BIGTIME,okx:linear_perpetual:BIGTIME:USDT:USDT:perp,2953,29,0,29,2314,29,29,0,29,0,2953,0,1.0,2,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 36, ""enter_short"": 29, ""no_action"": 33, ""observe"": 481, ""reduce"": 2314}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
BLUR,okx:linear_perpetual:BLUR:USDT:USDT:perp,2953,15,0,15,2277,15,15,0,15,0,2953,0,1.0,2,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 46, ""enter_short"": 15, ""no_action"": 26, ""observe"": 529, ""reduce"": 2277}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
BNB,okx:linear_perpetual:BNB:USDT:USDT:perp,2953,1,1,0,2430,1,1,0,1,0,2953,0,1.0,1,1,1.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 11, ""enter_long"": 1, ""hold"": 234, ""observe"": 217, ""reduce"": 2430}",CONVERTED,NONE,False
BONK,okx:linear_perpetual:BONK:USDT:USDT:perp,2953,52,0,52,1905,52,52,0,52,0,2953,0,1.0,2,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 162, ""enter_short"": 52, ""no_action"": 64, ""observe"": 710, ""reduce"": 1905}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
CELO,okx:linear_perpetual:CELO:USDT:USDT:perp,2953,2,0,2,2660,2,2,0,2,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 27, ""enter_short"": 2, ""no_action"": 2, ""observe"": 202, ""reduce"": 2660}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
CFX,okx:linear_perpetual:CFX:USDT:USDT:perp,2953,20,0,20,2374,20,20,0,20,0,2953,0,1.0,2,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 17, ""enter_short"": 20, ""no_action"": 14, ""observe"": 468, ""reduce"": 2374}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
CHZ,okx:linear_perpetual:CHZ:USDT:USDT:perp,2953,4,0,4,2419,4,4,0,4,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 53, ""enter_short"": 4, ""no_action"": 6, ""observe"": 411, ""reduce"": 2419}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
COMP,okx:linear_perpetual:COMP:USDT:USDT:perp,2953,11,0,11,2286,11,11,0,11,0,2953,0,1.0,2,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 26, ""enter_short"": 11, ""no_action"": 16, ""observe"": 554, ""reduce"": 2286}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
CORE,okx:linear_perpetual:CORE:USDT:USDT:perp,2953,42,0,42,2231,42,42,0,42,0,2953,0,1.0,3,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 35, ""enter_short"": 42, ""no_action"": 44, ""observe"": 541, ""reduce"": 2231}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
CRO,okx:linear_perpetual:CRO:USDT:USDT:perp,2953,60,1,59,11,60,60,0,60,0,2953,0,1.0,3,1,0.016666666666666666,True,mv2_decision_replay_series,False,0,"{"""": 60, ""enter_long"": 1, ""enter_short"": 59, ""hold"": 72, ""no_action"": 50, ""observe"": 2700, ""reduce"": 11}",CONVERTED,NONE,False
CRV,okx:linear_perpetual:CRV:USDT:USDT:perp,2953,1,0,1,2686,1,1,0,1,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 19, ""enter_short"": 1, ""no_action"": 5, ""observe"": 182, ""reduce"": 2686}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
DOGE,okx:linear_perpetual:DOGE:USDT:USDT:perp,2953,7,0,7,2498,7,7,0,7,0,2953,0,1.0,2,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 31, ""enter_short"": 7, ""no_action"": 12, ""observe"": 345, ""reduce"": 2498}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
DOT,okx:linear_perpetual:DOT:USDT:USDT:perp,2953,11,1,10,2264,11,11,0,11,0,2953,0,1.0,2,1,0.09090909090909091,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 21, ""enter_long"": 1, ""enter_short"": 10, ""hold"": 32, ""no_action"": 11, ""observe"": 554, ""reduce"": 2264}",CONVERTED,NONE,False
DYDX,okx:linear_perpetual:DYDX:USDT:USDT:perp,2953,140,0,140,10,140,140,0,140,0,2953,0,1.0,3,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 6, ""enter_short"": 140, ""no_action"": 133, ""observe"": 2604, ""reduce"": 10}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
EGLD,okx:linear_perpetual:EGLD:USDT:USDT:perp,2953,14,0,14,2373,14,14,0,14,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 20, ""enter_short"": 14, ""no_action"": 14, ""observe"": 472, ""reduce"": 2373}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
ENJ,okx:linear_perpetual:ENJ:USDT:USDT:perp,2953,9,0,9,2452,9,9,0,9,0,2953,0,1.0,2,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 23, ""enter_short"": 9, ""no_action"": 14, ""observe"": 395, ""reduce"": 2452}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
ENS,okx:linear_perpetual:ENS:USDT:USDT:perp,2953,18,0,18,646,18,18,0,18,0,2953,0,1.0,2,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 443, ""enter_short"": 18, ""no_action"": 24, ""observe"": 1762, ""reduce"": 646}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
ETC,okx:linear_perpetual:ETC:USDT:USDT:perp,2953,1,0,1,2703,1,1,0,1,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 18, ""enter_short"": 1, ""no_action"": 1, ""observe"": 170, ""reduce"": 2703}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
ETH,okx:linear_perpetual:ETH:USDT:USDT:perp,2953,7,0,7,1134,7,7,0,7,0,2953,0,1.0,2,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 29, ""enter_short"": 7, ""no_action"": 11, ""observe"": 1712, ""reduce"": 1134}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
ETHFI,okx:linear_perpetual:ETHFI:USDT:USDT:perp,2953,1,1,0,2705,1,1,0,1,0,2953,0,1.0,1,1,1.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 34, ""enter_long"": 1, ""hold"": 50, ""observe"": 103, ""reduce"": 2705}",CONVERTED,NONE,False
ETHW,okx:linear_perpetual:ETHW:USDT:USDT:perp,2953,13,0,13,2302,13,13,0,13,0,2953,0,1.0,3,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 45, ""enter_short"": 13, ""no_action"": 24, ""observe"": 509, ""reduce"": 2302}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
FIL,okx:linear_perpetual:FIL:USDT:USDT:perp,2953,11,0,11,2415,11,11,0,11,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 21, ""enter_short"": 11, ""no_action"": 13, ""observe"": 433, ""reduce"": 2415}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
FLOKI,okx:linear_perpetual:FLOKI:USDT:USDT:perp,2953,17,1,16,2599,17,17,0,17,0,2953,0,1.0,2,1,0.058823529411764705,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 18, ""enter_long"": 1, ""enter_short"": 16, ""hold"": 81, ""no_action"": 18, ""observe"": 160, ""reduce"": 2599}",CONVERTED,NONE,False
FLOW,okx:linear_perpetual:FLOW:USDT:USDT:perp,2953,10,1,9,2347,10,10,0,10,0,2953,0,1.0,2,1,0.1,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 21, ""enter_long"": 1, ""enter_short"": 9, ""hold"": 73, ""no_action"": 13, ""observe"": 429, ""reduce"": 2347}",CONVERTED,NONE,False
GALA,okx:linear_perpetual:GALA:USDT:USDT:perp,2953,10,0,10,2410,10,10,0,10,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 41, ""enter_short"": 10, ""no_action"": 16, ""observe"": 416, ""reduce"": 2410}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
GAS,okx:linear_perpetual:GAS:USDT:USDT:perp,2953,1,1,0,2689,1,1,0,1,0,2953,0,1.0,1,1,1.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 18, ""enter_long"": 1, ""hold"": 91, ""observe"": 94, ""reduce"": 2689}",CONVERTED,NONE,False
GMT,okx:linear_perpetual:GMT:USDT:USDT:perp,2953,10,0,10,2378,10,10,0,10,0,2953,0,1.0,1,0,0.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 27, ""enter_short"": 10, ""no_action"": 18, ""observe"": 460, ""reduce"": 2378}",ENGINE_SIGNAL_PRESENT_LEDGER_ZERO_TRADE,backtest_engine_fill_or_roundtrip_ledger,False
GMX,okx:linear_perpetual:GMX:USDT:USDT:perp,2953,4,1,3,2729,4,4,0,4,0,2953,0,1.0,1,1,0.25,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 9, ""enter_long"": 1, ""enter_short"": 3, ""hold"": 76, ""no_action"": 5, ""observe"": 70, ""reduce"": 2729}",CONVERTED,NONE,False
GRT,okx:linear_perpetual:GRT:USDT:USDT:perp,2953,1,1,0,2665,1,1,0,1,0,2953,0,1.0,1,1,1.0,True,mv2_decision_replay_series,False,0,"{"""": 60, ""blocked"": 25, ""enter_long"": 1, ""hold"": 136, ""observe"": 66, ""reduce"": 2665}",CONVERTED,NONE,False
