fold,start,end,total_trades,long_trades,short_trades,traded_instruments,gross_pnl,net_pnl,net_return,profit_factor,max_drawdown,fees,cost_drag
train,2024-05-01T00:00:00Z,2024-07-01T11:00:00Z,455,0,0,0,0.0,0.0,0.4535997748365108,NOT_AVAILABLE,NOT_AVAILABLE,0.0,NOT_AVAILABLE
validation,2024-07-01T12:00:00Z,2024-08-01T05:00:00Z,499,0,0,0,0.0,0.0,-0.9419867817405109,NOT_AVAILABLE,NOT_AVAILABLE,0.0,NOT_AVAILABLE
oos,2024-08-01T06:00:00Z,2024-09-01T00:00:00Z,142,0,0,0,0.0,0.0,0.41217047071955276,NOT_AVAILABLE,NOT_AVAILABLE,0.0,NOT_AVAILABLE
