instrument,member_id,bars_total,total_trades,long_trades,short_trades,gross_pnl,net_pnl,net_return,fees,slippage_drag,cost_drag,profit_factor_gross,win_rate,max_drawdown,sharpe,avg_hold_hours,stop_triggers,entry_intents,exit_intents,canonical_chain_bound,entry_side_none,entry_side_other,engine_signal_source
IMX,okx:linear_perpetual:IMX:USDT:USDT:perp,2953,6,3,3,-296.27490643734336,-296.27490643734336,-0.0296274906437342,0.0,60.0,0.0,0.0,0.0,-0.0296274906437342,NOT_AVAILABLE,15.0,6,6,2518,True,2893,0,mv2_decision_replay_series
INJ,okx:linear_perpetual:INJ:USDT:USDT:perp,2953,5,1,4,-247.51246878124942,-247.51246878124942,-0.02475124687812495,0.0,50.0,0.0,0.0,0.0,-0.02475124687812495,NOT_AVAILABLE,13.2,5,5,2685,True,2893,0,mv2_decision_replay_series
IOST,okx:linear_perpetual:IOST:USDT:USDT:perp,2953,7,1,6,634.1173877458255,634.1173877458255,0.06341173877458259,0.0,70.0,0.0,3.1403006936057607,0.14285714285714285,-0.0296274906437342,NOT_AVAILABLE,371.14285714285717,6,7,105,True,2893,0,mv2_decision_replay_series
IOTA,okx:linear_perpetual:IOTA:USDT:USDT:perp,2953,6,1,5,-296.27490643734245,-296.27490643734245,-0.02962749064373438,0.0,60.0,0.0,0.0,0.0,-0.02962749064373438,NOT_AVAILABLE,27.5,6,6,2395,True,2893,0,mv2_decision_replay_series
JTO,okx:linear_perpetual:JTO:USDT:USDT:perp,2953,4,1,3,-198.5049937499995,-198.5049937499995,-0.01985049937499989,0.0,40.0,0.0,0.0,0.0,-0.01985049937499989,NOT_AVAILABLE,10.25,4,7,2666,True,2893,0,mv2_decision_replay_series
JUP,okx:linear_perpetual:JUP:USDT:USDT:perp,2953,3,1,2,-149.25124999999915,-149.25124999999915,-0.014925124999999935,0.0,30.0,0.0,0.0,0.0,-0.014925124999999935,NOT_AVAILABLE,16.333333333333332,3,3,2692,True,2893,0,mv2_decision_replay_series
KSM,okx:linear_perpetual:KSM:USDT:USDT:perp,2953,4,0,4,-198.50499374999907,-198.50499374999907,-0.01985049937499989,0.0,40.0,0.0,0.0,0.0,-0.01985049937499989,NOT_AVAILABLE,93.0,4,4,2409,True,2893,0,mv2_decision_replay_series
LDO,okx:linear_perpetual:LDO:USDT:USDT:perp,2953,10,1,9,-488.8986953422788,-488.8986953422788,-0.04888986953422791,0.0,100.0,0.0,0.0,0.0,-0.04888986953422791,NOT_AVAILABLE,38.4,10,10,2342,True,2893,0,mv2_decision_replay_series
LINK,okx:linear_perpetual:LINK:USDT:USDT:perp,2953,1,0,1,-49.99999999999975,-49.99999999999975,-0.005,0.0,10.0,0.0,0.0,0.0,-0.005,NOT_AVAILABLE,220.0,1,1,2564,True,2893,0,mv2_decision_replay_series
LPT,okx:linear_perpetual:LPT:USDT:USDT:perp,2953,5,1,4,-247.5124687812495,-247.5124687812495,-0.02475124687812495,0.0,50.0,0.0,0.0,0.0,-0.02475124687812495,NOT_AVAILABLE,325.2,5,5,1403,True,2893,0,mv2_decision_replay_series
LQTY,okx:linear_perpetual:LQTY:USDT:USDT:perp,2953,8,1,7,-393.0695642456302,-393.0695642456302,-0.039306956424563215,0.0,80.0,0.0,0.0,0.0,-0.039306956424563215,NOT_AVAILABLE,35.625,8,8,2365,True,2893,0,mv2_decision_replay_series
LRC,okx:linear_perpetual:LRC:USDT:USDT:perp,2953,7,1,6,-344.79353190515553,-344.79353190515553,-0.03447935319051557,0.0,70.0,0.0,0.0,0.0,-0.03447935319051557,NOT_AVAILABLE,42.42857142857143,7,7,2383,True,2893,0,mv2_decision_replay_series
LTC,okx:linear_perpetual:LTC:USDT:USDT:perp,2953,1,0,1,-50.0,-50.0,-0.005,0.0,10.0,0.0,0.0,0.0,-0.005,NOT_AVAILABLE,280.0,1,1,2093,True,2893,0,mv2_decision_replay_series
LUNA,okx:linear_perpetual:LUNA:USDT:USDT:perp,2953,0,0,0,0.0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,NOT_AVAILABLE,0.0,0.0,NOT_AVAILABLE,NOT_AVAILABLE,0,0,2711,True,2893,0,mv2_decision_replay_series
MAGIC,okx:linear_perpetual:MAGIC:USDT:USDT:perp,2953,6,0,6,-296.2749064373422,-296.2749064373422,-0.02962749064373438,0.0,60.0,0.0,0.0,0.0,-0.02962749064373438,NOT_AVAILABLE,29.5,6,6,2406,True,2893,0,mv2_decision_replay_series
MANA,okx:linear_perpetual:MANA:USDT:USDT:perp,2953,2,0,2,-99.74999999999949,-99.74999999999949,-0.009975,0.0,20.0,0.0,0.0,0.0,-0.009975,NOT_AVAILABLE,133.0,2,2,2410,True,2893,0,mv2_decision_replay_series
MASK,okx:linear_perpetual:MASK:USDT:USDT:perp,2953,3,0,3,-149.25124999999917,-149.25124999999917,-0.014925124999999935,0.0,30.0,0.0,0.0,0.0,-0.014925124999999935,NOT_AVAILABLE,12.0,3,3,2670,True,2893,0,mv2_decision_replay_series
MEME,okx:linear_perpetual:MEME:USDT:USDT:perp,2953,8,1,7,-393.06956424562986,-393.06956424562986,-0.039306956424563215,0.0,80.0,0.0,0.0,0.0,-0.039306956424563215,NOT_AVAILABLE,22.125,8,8,2503,True,2893,0,mv2_decision_replay_series
MERL,okx:linear_perpetual:MERL:USDT:USDT:perp,2953,17,1,16,359.1917461807815,359.1917461807815,0.035919174618077705,0.0,170.0,0.0,1.4660658941758886,0.058823529411764705,-0.0770688760257639,NOT_AVAILABLE,166.05882352941177,16,19,361,True,2893,0,mv2_decision_replay_series
METIS,okx:linear_perpetual:METIS:USDT:USDT:perp,2953,4,1,3,-198.5049937499993,-198.5049937499993,-0.01985049937499989,0.0,40.0,0.0,0.0,0.0,-0.01985049937499989,NOT_AVAILABLE,45.0,4,4,2429,True,2893,0,mv2_decision_replay_series
MEW,okx:linear_perpetual:MEW:USDT:USDT:perp,2953,6,1,5,-296.2749064373429,-296.2749064373429,-0.0296274906437342,0.0,60.0,0.0,0.0,0.0,-0.0296274906437342,NOT_AVAILABLE,93.33333333333333,6,13,2360,True,2893,0,mv2_decision_replay_series
MINA,okx:linear_perpetual:MINA:USDT:USDT:perp,2953,1,1,0,-49.99999999999999,-49.99999999999999,-0.005,0.0,10.0,0.0,0.0,0.0,-0.005,NOT_AVAILABLE,83.0,1,1,2664,True,2893,0,mv2_decision_replay_series
NEAR,okx:linear_perpetual:NEAR:USDT:USDT:perp,2953,1,1,0,-50.0,-50.0,-0.005,0.0,10.0,0.0,0.0,0.0,-0.005,NOT_AVAILABLE,845.0,1,1,2686,True,2893,0,mv2_decision_replay_series
