instrument,member_id,bars_total,total_trades,long_trades,short_trades,gross_pnl,net_pnl,net_return,fees,slippage_drag,cost_drag,profit_factor_gross,win_rate,max_drawdown,sharpe,avg_hold_hours,stop_triggers,entry_intents,exit_intents,canonical_chain_bound,entry_side_none,entry_side_other,engine_signal_source
SUSHI,okx:linear_perpetual:SUSHI:USDT:USDT:perp,2953,6,1,5,-296.27490643734336,-296.27490643734336,-0.02962749064373438,0.0,60.0,0.0,0.0,0.0,-0.02962749064373438,NOT_AVAILABLE,32.333333333333336,6,6,2520,True,2893,0,mv2_decision_replay_series
THETA,okx:linear_perpetual:THETA:USDT:USDT:perp,2953,1,1,0,-50.0,-50.0,-0.005,0.0,10.0,0.0,0.0,0.0,-0.005,NOT_AVAILABLE,187.0,1,1,2626,True,2893,0,mv2_decision_replay_series
TIA,okx:linear_perpetual:TIA:USDT:USDT:perp,2953,3,0,3,-149.25124999999895,-149.25124999999895,-0.014925124999999935,0.0,30.0,0.0,0.0,0.0,-0.014925124999999935,NOT_AVAILABLE,167.0,3,3,2239,True,2893,0,mv2_decision_replay_series
TRB,okx:linear_perpetual:TRB:USDT:USDT:perp,2953,5,0,5,-247.51246878124883,-247.51246878124883,-0.02475124687812495,0.0,50.0,0.0,0.0,0.0,-0.02475124687812495,NOT_AVAILABLE,9.2,5,5,1188,True,2893,0,mv2_decision_replay_series
TRX,okx:linear_perpetual:TRX:USDT:USDT:perp,2953,0,0,0,0.0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,NOT_AVAILABLE,0.0,0.0,NOT_AVAILABLE,NOT_AVAILABLE,0,0,1434,True,2893,0,mv2_decision_replay_series
TURBO,okx:linear_perpetual:TURBO:USDT:USDT:perp,2953,1,1,0,10628.360569320006,10628.360569320006,1.0628360569320008,0.0,10.0,0.0,inf,1.0,0.0,NOT_AVAILABLE,2891.0,0,1,545,True,2893,0,mv2_decision_replay_series
UMA,okx:linear_perpetual:UMA:USDT:USDT:perp,2953,1,1,0,-50.0,-50.0,-0.005,0.0,10.0,0.0,0.0,0.0,-0.005,NOT_AVAILABLE,106.0,1,1,2723,True,2893,0,mv2_decision_replay_series
UNI,okx:linear_perpetual:UNI:USDT:USDT:perp,2953,3,1,2,-149.25124999999952,-149.25124999999952,-0.014925124999999935,0.0,30.0,0.0,0.0,0.0,-0.014925124999999935,NOT_AVAILABLE,60.0,3,3,2513,True,2893,0,mv2_decision_replay_series
USDC,okx:linear_perpetual:USDC:USDT:USDT:perp,2953,0,0,0,0.0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,NOT_AVAILABLE,0.0,0.0,NOT_AVAILABLE,NOT_AVAILABLE,0,0,0,True,2893,0,mv2_decision_replay_series
W,okx:linear_perpetual:W:USDT:USDT:perp,2953,8,1,7,1036.7773036766857,1036.7773036766857,0.10367773036766849,0.0,80.0,0.0,4.0069511395645225,0.125,-0.03447935319051576,NOT_AVAILABLE,354.25,7,8,279,True,2893,0,mv2_decision_replay_series
WIF,okx:linear_perpetual:WIF:USDT:USDT:perp,2953,4,0,4,-198.50499374999896,-198.50499374999896,-0.01985049937499989,0.0,40.0,0.0,0.0,0.0,-0.01985049937499989,NOT_AVAILABLE,8.5,4,4,2735,True,2893,0,mv2_decision_replay_series
WLD,okx:linear_perpetual:WLD:USDT:USDT:perp,2953,8,0,8,977.1356066898721,977.1356066898721,0.09771356066898734,0.0,80.0,0.0,3.8339731354318363,0.125,-0.03447935319051557,NOT_AVAILABLE,319.75,7,8,258,True,2893,0,mv2_decision_replay_series
WOO,okx:linear_perpetual:WOO:USDT:USDT:perp,2953,3,1,2,-149.25124999999963,-149.25124999999963,-0.014925124999999935,0.0,30.0,0.0,0.0,0.0,-0.014925124999999935,NOT_AVAILABLE,118.66666666666667,3,3,2627,True,2893,0,mv2_decision_replay_series
XLM,okx:linear_perpetual:XLM:USDT:USDT:perp,2953,6,0,6,-7.451237243556335,-7.451237243556335,-0.0007451237243556534,0.0,60.0,0.0,0.9698955075667653,0.16666666666666666,-0.02475124687812495,NOT_AVAILABLE,409.6666666666667,5,6,77,True,2893,0,mv2_decision_replay_series
XRP,okx:linear_perpetual:XRP:USDT:USDT:perp,2953,6,0,6,-296.2749064373423,-296.2749064373423,-0.02962749064373438,0.0,60.0,0.0,0.0,0.0,-0.02962749064373438,NOT_AVAILABLE,177.16666666666666,6,6,1179,True,2893,0,mv2_decision_replay_series
XTZ,okx:linear_perpetual:XTZ:USDT:USDT:perp,2953,2,0,2,-99.74999999999955,-99.74999999999955,-0.009975,0.0,20.0,0.0,0.0,0.0,-0.009975,NOT_AVAILABLE,220.5,2,2,2275,True,2893,0,mv2_decision_replay_series
YFI,okx:linear_perpetual:YFI:USDT:USDT:perp,2953,2,0,2,-99.74999999999947,-99.74999999999947,-0.009975,0.0,20.0,0.0,0.0,0.0,-0.009975,NOT_AVAILABLE,13.5,2,2,2422,True,2893,0,mv2_decision_replay_series
YGG,okx:linear_perpetual:YGG:USDT:USDT:perp,2953,4,0,4,-198.5049937499992,-198.5049937499992,-0.01985049937499989,0.0,40.0,0.0,0.0,0.0,-0.01985049937499989,NOT_AVAILABLE,10.25,4,5,2627,True,2893,0,mv2_decision_replay_series
ZETA,okx:linear_perpetual:ZETA:USDT:USDT:perp,2953,9,1,8,965.1557530479727,965.1557530479727,0.09651557530479694,0.0,90.0,0.0,3.4554324242841803,0.1111111111111111,-0.039306956424563215,NOT_AVAILABLE,312.22222222222223,8,9,264,True,2893,0,mv2_decision_replay_series
ZIL,okx:linear_perpetual:ZIL:USDT:USDT:perp,2953,4,0,4,-198.50499374999941,-198.50499374999941,-0.01985049937499989,0.0,40.0,0.0,0.0,0.0,-0.01985049937499989,NOT_AVAILABLE,35.5,4,4,2209,True,2893,0,mv2_decision_replay_series
ZRX,okx:linear_perpetual:ZRX:USDT:USDT:perp,2953,2,0,2,-99.74999999999977,-99.74999999999977,-0.009975,0.0,20.0,0.0,0.0,0.0,-0.009975,NOT_AVAILABLE,117.0,2,2,2530,True,2893,0,mv2_decision_replay_series
