member_id,side,gross_pnl,fees,slippage,net_pnl,residual_gross_minus_fees_minus_slip_minus_net,exit_reason
okx:linear_perpetual:IOST:USDT:USDT:perp,long,-50.0,3.9500000000000095,1.9750000000000048,-55.92500000000001,0.0,stop_loss
okx:linear_perpetual:IOST:USDT:USDT:perp,short,-49.72037499999962,4.0273503749999975,2.0136751874999987,-55.76140056249962,0.0,stop_loss
okx:linear_perpetual:IOST:USDT:USDT:perp,short,-49.44156799718709,4.0047670077721795,2.0023835038860898,-55.44871850884536,0.0,stop_loss
okx:linear_perpetual:IOST:USDT:USDT:perp,short,-49.164324404642876,3.9823102767760883,1.9911551383880441,-55.137789819807004,-7.105427357601002e-15,stop_loss
okx:linear_perpetual:IOST:USDT:USDT:perp,short,-48.88863545554425,3.959979471899082,1.979989735949541,-54.82860466339287,7.105427357601002e-15,stop_loss
okx:linear_perpetual:IOST:USDT:USDT:perp,short,-48.6144924322269,3.9377738870104033,1.9688869435052017,-54.5211532627425,-7.105427357601002e-15,stop_loss
okx:linear_perpetual:IOST:USDT:USDT:perp,short,927.0031540790286,2.940347779194041,1.4701738895970204,922.5926324102375,1.1368683772161603e-13,end_of_data
okx:linear_perpetual:IOTA:USDT:USDT:perp,long,-50.0,3.9499999999999993,1.9749999999999996,-55.925,-7.105427357601002e-15,stop_loss
okx:linear_perpetual:IOTA:USDT:USDT:perp,short,-49.72037499999975,4.027350374999991,2.0136751874999956,-55.76140056249974,0.0,stop_loss
okx:linear_perpetual:IOTA:USDT:USDT:perp,short,-49.44156799718723,4.004767007772188,2.002383503886094,-55.44871850884551,0.0,stop_loss
okx:linear_perpetual:IOTA:USDT:USDT:perp,short,-49.16432440464301,3.9823102767760954,1.9911551383880477,-55.13778981980715,0.0,stop_loss
okx:linear_perpetual:IOTA:USDT:USDT:perp,short,-48.88863545554398,3.9599794718990866,1.9799897359495433,-54.8286046633926,-7.105427357601002e-15,stop_loss
okx:linear_perpetual:IOTA:USDT:USDT:perp,short,-48.61449243222702,3.937773887010397,1.9688869435051986,-54.521153262742615,7.105427357601002e-15,stop_loss
okx:linear_perpetual:JTO:USDT:USDT:perp,long,-49.99999999999999,3.949999999999987,1.9749999999999934,-55.924999999999976,0.0,stop_loss
okx:linear_perpetual:JTO:USDT:USDT:perp,short,-49.720374999999756,4.027350375000002,2.013675187500001,-55.76140056249976,0.0,stop_loss
okx:linear_perpetual:JTO:USDT:USDT:perp,short,-49.44156799718751,4.004767007772195,2.0023835038860973,-55.44871850884581,7.105427357601002e-15,stop_loss
okx:linear_perpetual:JUP:USDT:USDT:perp,long,-50.0,3.9499999999999904,1.9749999999999952,-55.92499999999998,0.0,stop_loss
okx:linear_perpetual:JUP:USDT:USDT:perp,short,-49.72037499999957,4.027350374999993,2.0136751874999965,-55.76140056249956,0.0,stop_loss
okx:linear_perpetual:JUP:USDT:USDT:perp,short,-49.44156799718708,4.004767007772176,2.002383503886088,-55.448718508845346,7.105427357601002e-15,stop_loss
okx:linear_perpetual:KSM:USDT:USDT:perp,short,-49.99999999999976,4.0499999999999945,2.0249999999999972,-56.07499999999975,-7.105427357601002e-15,stop_loss
okx:linear_perpetual:KSM:USDT:USDT:perp,short,-49.719624999999766,4.027289624999993,2.0136448124999964,-55.76055943749976,0.0,stop_loss
okx:linear_perpetual:KSM:USDT:USDT:perp,short,-49.44082220281227,4.00470659842781,2.002353299213905,-55.44788210045399,0.0,stop_loss
okx:linear_perpetual:KSM:USDT:USDT:perp,short,-49.16358279231,3.9822502061771194,1.9911251030885597,-55.13695810157568,0.0,stop_loss
okx:linear_perpetual:LDO:USDT:USDT:perp,long,-50.0,3.950000000000003,1.9750000000000014,-55.925000000000004,0.0,stop_loss
okx:linear_perpetual:LDO:USDT:USDT:perp,short,-49.720374999999784,4.0273503749999975,2.0136751874999987,-55.76140056249978,0.0,stop_loss
okx:linear_perpetual:LDO:USDT:USDT:perp,short,-49.44156799718728,4.004767007772182,2.002383503886091,-55.448718508845545,-7.105427357601002e-15,stop_loss
okx:linear_perpetual:LDO:USDT:USDT:perp,short,-49.164324404643274,3.9823102767761105,1.9911551383880552,-55.137789819807445,7.105427357601002e-15,stop_loss
okx:linear_perpetual:LDO:USDT:USDT:perp,short,-48.88863545554402,3.9599794718990813,1.9799897359495406,-54.82860466339264,0.0,stop_loss
okx:linear_perpetual:LDO:USDT:USDT:perp,short,-48.614492432226854,3.937773887010402,1.968886943505201,-54.52115326274245,-7.105427357601002e-15,stop_loss
okx:linear_perpetual:LDO:USDT:USDT:perp,short,-48.34188666591316,3.9156928199389895,1.9578464099694948,-54.215425895821646,7.105427357601002e-15,stop_loss
okx:linear_perpetual:LDO:USDT:USDT:perp,short,-48.07080953643445,3.8937355724512015,1.9468677862256007,-53.911412895111255,0.0,stop_loss
okx:linear_perpetual:LDO:USDT:USDT:perp,short,-47.8012524719585,3.8719014502286635,1.9359507251143317,-53.60910464730149,0.0,stop_loss
okx:linear_perpetual:LDO:USDT:USDT:perp,short,-47.533206948722,3.8501897628465107,1.9250948814232554,-53.308491592991764,0.0,stop_loss
okx:linear_perpetual:LINK:USDT:USDT:perp,short,-49.99999999999975,4.050000000000001,2.0250000000000004,-56.074999999999754,0.0,stop_loss
