stress,fee_bps,slippage_bps,stop_pct,stop_stress_status,extra_roundtrip_bps,modelled_return_drag,mode,total_trades,long_trades,short_trades,gross_pnl,net_pnl,net_return,profit_factor,max_drawdown,fees,cost_drag
baseline_ref,10.0,5.0,0.025,NOT_AVAILABLE_SIZING_CONFIG_DIGEST_SEALED,0.0,0.0,modelled_roundtrip_bps_drag,454,69,385,46.13329289862826,23.253860717645743,0.00232538607176469,1.1135430312470467,-0.020480218347394656,15.25295478732169,22.87943218098253
cost_stress_1_5x,15.0,5.0,0.025,NOT_AVAILABLE_SIZING_CONFIG_DIGEST_SEALED,10.0,0.454,modelled_roundtrip_bps_drag,454,69,385,46.13329289862826,23.253860717645743,-0.4516746139282353,1.1135430312470467,-0.020480218347394656,15.25295478732169,22.87943218098253
cost_stress_2x,20.0,5.0,0.025,NOT_AVAILABLE_SIZING_CONFIG_DIGEST_SEALED,20.0,0.908,modelled_roundtrip_bps_drag,454,69,385,46.13329289862826,23.253860717645743,-0.9056746139282353,1.1135430312470467,-0.020480218347394656,15.25295478732169,22.87943218098253
slip_stress_1_5x,10.0,7.5,0.025,NOT_AVAILABLE_SIZING_CONFIG_DIGEST_SEALED,5.0,0.227,modelled_roundtrip_bps_drag,454,69,385,46.13329289862826,23.253860717645743,-0.22467461392823532,1.1135430312470467,-0.020480218347394656,15.25295478732169,22.87943218098253
slip_stress_2x,10.0,10.0,0.025,NOT_AVAILABLE_SIZING_CONFIG_DIGEST_SEALED,10.0,0.454,modelled_roundtrip_bps_drag,454,69,385,46.13329289862826,23.253860717645743,-0.4516746139282353,1.1135430312470467,-0.020480218347394656,15.25295478732169,22.87943218098253
combined_cost_slip_1_5x,15.0,7.5,0.025,NOT_AVAILABLE_SIZING_CONFIG_DIGEST_SEALED,15.0,0.681,modelled_roundtrip_bps_drag,454,69,385,46.13329289862826,23.253860717645743,-0.6786746139282354,1.1135430312470467,-0.020480218347394656,15.25295478732169,22.87943218098253
combined_cost_slip_2x,20.0,10.0,0.025,NOT_AVAILABLE_SIZING_CONFIG_DIGEST_SEALED,30.0,1.362,modelled_roundtrip_bps_drag,454,69,385,46.13329289862826,23.253860717645743,-1.3596746139282354,1.1135430312470467,-0.020480218347394656,15.25295478732169,22.87943218098253
