instrument	member_id	price_scale	mark_min	mark_max	bars	bull_candidates	bear_candidates	bull_events	bear_events	downscope_events	adverse_exit_events	adverse_policy	long_reachable	short_reachable	entry_intents	exit_intents	trades	long_trades	short_trades	zero_trade	first_blocking	noop	threshold_miss	legacy_abs_seen
1INCH	okx:linear_perpetual:1INCH:USDT:USDT:perp	low	0.2303	0.5301	2953	2458	286	284	2460	2460	31	2491	1	1	9	2492	1	0	0	False	"{""boundary"": ""src/backtest/mv2_research_wiring_v1.py:observational_hook"", ""reason"": ""no_intermediate"", ""symbol"": ""intermediate_missing""}"	118	127	0
BONK	okx:linear_perpetual:BONK:USDT:USDT:perp	ultra_low	1.5959e-05	4.3558e-05	2953	2304	511	923	1892	1892	13	1905	1	1	52	1905	0	0	0	True	"{""boundary"": ""src/backtest/mv2_research_wiring_v1.py:observational_hook"", ""reason"": ""no_intermediate"", ""symbol"": ""intermediate_missing""}"	65	69	0
AVAX	okx:linear_perpetual:AVAX:USDT:USDT:perp	mid	17.705	41.448	2953	2249	327	325	2251	2251	92	2343	1	1	8	2343	0	0	0	True	"{""boundary"": ""src/backtest/mv2_research_wiring_v1.py:observational_hook"", ""reason"": ""no_intermediate"", ""symbol"": ""intermediate_missing""}"	225	286	0
SOL	okx:linear_perpetual:SOL:USDT:USDT:perp	high	111.82	193.55	2953	2706	72	104	2674	2674	34	2708	1	1	2	2708	0	0	0	True	"{""boundary"": ""src/backtest/mv2_research_wiring_v1.py:observational_hook"", ""reason"": ""no_intermediate"", ""symbol"": ""intermediate_missing""}"	81	103	0
