instrument,member_id,bars_total,total_trades,long_trades,short_trades,gross_pnl,net_pnl,net_return,fees,slippage_drag,cost_drag,profit_factor_gross,win_rate,max_drawdown,sharpe,avg_hold_hours,stop_triggers,entry_intents,exit_intents,canonical_chain_bound,entry_side_none,entry_side_other,engine_signal_source
MAGIC,okx:linear_perpetual:MAGIC:USDT:USDT:perp,9162,4,0,4,-198.32402999512203,-222.42039963952936,-0.02224203996395281,16.064246429604914,8.032123214802457,24.096369644407332,0.0,0.0,-0.02224203996395281,NOT_AVAILABLE,398.75,4,9,7433,True,9102,0,mv2_decision_replay_series
MANA,okx:linear_perpetual:MANA:USDT:USDT:perp,9162,9,0,9,-440.0374604099725,-493.50201184978425,-0.04935020118497851,35.64303429320788,17.82151714660394,53.46455143981177,0.0,0.0,-0.04935020118497851,NOT_AVAILABLE,39.333333333333336,9,9,8072,True,9102,0,mv2_decision_replay_series
MASK,okx:linear_perpetual:MASK:USDT:USDT:perp,9162,1,0,1,-50.0,-56.075,-0.0056075000000000725,4.050000000000004,2.025000000000002,6.075000000000003,0.0,0.0,-0.0056075000000000725,NOT_AVAILABLE,238.0,1,1,8789,True,9102,0,mv2_decision_replay_series
MINA,okx:linear_perpetual:MINA:USDT:USDT:perp,9162,3,0,3,-149.16044720281198,-167.28344153795368,-0.016728344153795295,12.081996223427808,6.040998111713904,18.122994335141698,0.0,0.0,-0.016728344153795295,NOT_AVAILABLE,483.6666666666667,3,3,1395,True,9102,0,mv2_decision_replay_series
NEO,okx:linear_perpetual:NEO:USDT:USDT:perp,9162,1,0,1,-49.999999999999744,-56.07499999999975,-0.005607499999999891,4.050000000000004,2.025000000000002,6.075000000000003,0.0,0.0,-0.005607499999999891,NOT_AVAILABLE,2.0,1,1,8815,True,9102,0,mv2_decision_replay_series
ONT,okx:linear_perpetual:ONT:USDT:USDT:perp,9162,4,2,2,-198.3277548309754,-222.12541591793894,-0.022212541591793707,15.865107391309037,7.932553695654518,23.79766108696353,0.0,0.0,-0.022212541591793707,NOT_AVAILABLE,45.5,4,4,8510,True,9102,0,mv2_decision_replay_series
OP,okx:linear_perpetual:OP:USDT:USDT:perp,9162,7,0,7,-344.16684457020796,-385.9831161854883,-0.0385983116185489,27.877514410186926,13.938757205093463,41.81627161528036,0.0,0.0,-0.0385983116185489,NOT_AVAILABLE,226.14285714285714,7,7,7250,True,9102,0,mv2_decision_replay_series
ORDI,okx:linear_perpetual:ORDI:USDT:USDT:perp,9162,1,1,0,-50.0,-55.925,-0.005592499999999927,3.9500000000000015,1.9750000000000008,5.924999999999997,0.0,0.0,-0.005592499999999927,NOT_AVAILABLE,40.0,1,1,9018,True,9102,0,mv2_decision_replay_series
PEPE,okx:linear_perpetual:PEPE:USDT:USDT:perp,9162,3,0,3,-149.16044720281133,-167.283441537953,-0.016728344153795295,12.081996223427769,6.0409981117138845,18.12299433514167,0.0,0.0,-0.016728344153795295,NOT_AVAILABLE,500.6666666666667,3,3,7527,True,9102,0,mv2_decision_replay_series
QTUM,okx:linear_perpetual:QTUM:USDT:USDT:perp,9162,6,0,6,-295.8256871106819,-331.7685080946298,-0.03317685080946303,23.96188065596529,11.980940327982646,35.94282098394791,0.0,0.0,-0.03317685080946303,NOT_AVAILABLE,85.83333333333333,6,6,8047,True,9102,0,mv2_decision_replay_series
RVN,okx:linear_perpetual:RVN:USDT:USDT:perp,9162,8,0,8,-392.2369289892803,-439.8937158614779,-0.04398937158614772,31.771191248131778,15.885595624065889,47.65678687219764,0.0,0.0,-0.04398937158614772,NOT_AVAILABLE,152.375,8,8,7403,True,9102,0,mv2_decision_replay_series
SOL,okx:linear_perpetual:SOL:USDT:USDT:perp,9162,10,0,10,-487.5699503507237,-546.8096993183368,-0.05468096993183372,39.493165978408754,19.746582989204377,59.23974896761314,0.0,0.0,-0.05468096993183372,NOT_AVAILABLE,40.7,10,10,7724,True,9102,0,mv2_decision_replay_series
STX,okx:linear_perpetual:STX:USDT:USDT:perp,9162,11,0,11,-534.8359018541312,-599.8184639294085,-0.05998184639294068,43.3217080501848,21.6608540250924,64.98256207527731,0.0,0.0,-0.05998184639294068,NOT_AVAILABLE,53.72727272727273,11,11,8082,True,9102,0,mv2_decision_replay_series
SUI,okx:linear_perpetual:SUI:USDT:USDT:perp,9162,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,0.0,NOT_AVAILABLE,NOT_AVAILABLE,0,0,8677,True,9102,0,mv2_decision_replay_series
SUSHI,okx:linear_perpetual:SUSHI:USDT:USDT:perp,9162,1,0,1,-50.0,-56.075,-0.0056075000000000725,4.05,2.025,6.075000000000003,0.0,0.0,-0.0056075000000000725,NOT_AVAILABLE,48.0,1,1,8774,True,9102,0,mv2_decision_replay_series
THETA,okx:linear_perpetual:THETA:USDT:USDT:perp,9162,3,0,3,-149.16044720281215,-167.28344153795388,-0.01672834415379548,12.081996223427808,6.040998111713904,18.122994335141726,0.0,0.0,-0.01672834415379548,NOT_AVAILABLE,195.66666666666666,3,3,7598,True,9102,0,mv2_decision_replay_series
TRX,okx:linear_perpetual:TRX:USDT:USDT:perp,9162,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,0.0,NOT_AVAILABLE,NOT_AVAILABLE,0,0,25,True,9102,0,mv2_decision_replay_series
UNI,okx:linear_perpetual:UNI:USDT:USDT:perp,9162,1,0,1,-49.99999999999963,-56.07499999999961,-0.005607499999999891,4.0499999999999865,2.0249999999999932,6.0749999999999815,0.0,0.0,-0.005607499999999891,NOT_AVAILABLE,4.0,1,1,8990,True,9102,0,mv2_decision_replay_series
USDC,okx:linear_perpetual:USDC:USDT:USDT:perp,9162,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,0.0,NOT_AVAILABLE,NOT_AVAILABLE,0,0,0,True,9102,0,mv2_decision_replay_series
WLD,okx:linear_perpetual:WLD:USDT:USDT:perp,9162,9,1,8,-440.04334396390766,-493.35861025552265,-0.04933586102555237,35.54351086107661,17.771755430538306,53.31526629161499,0.0,0.0,-0.04933586102555237,NOT_AVAILABLE,79.66666666666667,9,16,8374,True,9102,0,mv2_decision_replay_series
WOO,okx:linear_perpetual:WOO:USDT:USDT:perp,9162,7,0,7,-344.166844570207,-385.9831161854873,-0.03859831161854872,27.877514410186897,13.938757205093449,41.8162716152803,0.0,0.0,-0.03859831161854872,NOT_AVAILABLE,10.714285714285714,7,7,8790,True,9102,0,mv2_decision_replay_series
XLM,okx:linear_perpetual:XLM:USDT:USDT:perp,9162,1,1,0,-50.00000000000001,-55.925000000000004,-0.005592499999999927,3.949999999999997,1.9749999999999985,5.924999999999997,0.0,0.0,-0.005592499999999927,NOT_AVAILABLE,302.0,1,1,8838,True,9102,0,mv2_decision_replay_series
XRP,okx:linear_perpetual:XRP:USDT:USDT:perp,9162,8,0,8,-392.2369289892794,-439.89371586147706,-0.0439893715861479,31.771191248131775,15.885595624065887,47.65678687219764,0.0,0.0,-0.0439893715861479,NOT_AVAILABLE,141.25,8,8,5359,True,9102,0,mv2_decision_replay_series
XTZ,okx:linear_perpetual:XTZ:USDT:USDT:perp,9162,4,0,4,-198.3240299951221,-222.4203996395295,-0.02224203996395281,16.06424642960494,8.03212321480247,24.096369644407417,0.0,0.0,-0.02224203996395281,NOT_AVAILABLE,141.5,4,4,7776,True,9102,0,mv2_decision_replay_series
YGG,okx:linear_perpetual:YGG:USDT:USDT:perp,9162,11,1,10,-534.8432154033867,-599.6766660748985,-0.05996766660748999,43.222300447674506,21.611150223837253,64.83345067151186,0.0,0.0,-0.05996766660748999,NOT_AVAILABLE,137.72727272727272,11,16,7402,True,9102,0,mv2_decision_replay_series
