fold,start,end,total_trades,long_trades,short_trades,traded_instruments,gross_pnl,net_pnl,net_return,profit_factor,max_drawdown,fees,cost_drag
oos_1,2023-08-16T05:55:00Z,2023-11-16T00:00:00Z,287,15,272,60,-204.11913568149544,-230.4249870786373,-0.02304249870786368,0.04273951150708963,-0.024070362822283642,17.53723426476127,26.305851397141915
oos_2,2023-11-16T00:00:00Z,2024-02-16T00:00:00Z,266,13,253,62,-171.05377133168514,-195.4255413509877,-0.024868718411331092,0.12171498232574868,-0.02757503789141174,20.015219405156966,30.022829107735443
oos_3,2024-02-16T00:00:00Z,2024-05-16T00:00:00Z,135,5,130,45,-66.7615540528663,-79.06803055378046,-0.008975818806045255,0.2923345731000942,-0.015046177353470193,11.072197041973382,16.60829556296008
oos_4,2024-05-16T00:00:00Z,2024-09-01T00:00:00Z,79,0,79,30,21.82366524286626,14.66095207577364,-0.0028353061454033934,1.2390755506366438,-0.010433752418044605,7.818729336395074,11.728094004592613
